DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2004,86,32,37.20%,25,29.10%,78.10%,3,3.50%,9.40%,22,25.60%,68.80%,7,8.10%,21.90%,37,43%,16,18.60%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2005,118,33,28%,24,20.30%,72.70%,3,2.50%,9.10%,21,17.80%,63.60%,9,7.60%,27.30%,67,56.80%,10,8.50%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2006,112,53,47.30%,43,38.40%,81.10%,4,3.60%,7.50%,39,34.80%,73.60%,10,8.90%,18.90%,40,35.70%,13,11.60%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2006 Aug,112,55,49.10%,45,40.20%,81.80%,4,3.60%,7.30%,41,36.60%,74.50%,10,8.90%,18.20%,38,33.90%,13,11.60%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2001,23,20,87%,8,34.80%,40%,0,0%,0%,8,34.80%,40%,12,52.20%,60%,3,13%,0,0%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2002,66,48,72.70%,34,51.50%,70.80%,0,0%,0%,34,51.50%,70.80%,16,24.20%,33.30%,7,10.60%,9,13.60%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2003,73,55,75.30%,41,56.20%,74.50%,0,0%,0%,41,56.20%,74.50%,14,19.20%,25.50%,12,16.40%,6,8.20%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2004,49,35,71.40%,30,61.20%,85.70%,0,0%,0%,30,61.20%,85.70%,5,10.20%,14.30%,9,18.40%,3,6.10%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2005,100,46,46%,38,38%,82.60%,0,0%,0%,38,38%,82.60%,8,8%,17.40%,41,41%,9,9%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2006,81,66,81.50%,45,55.60%,68.20%,0,0%,0%,45,55.60%,68.20%,21,25.90%,31.80%,11,13.60%,3,3.70%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2006 Aug,81,68,84%,46,56.80%,67.60%,0,0%,0%,46,56.80%,67.60%,22,27.20%,32.40%,9,11.10%,3,3.70%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,2005,91,64,70.30%,41,45.10%,64.10%,0,0%,0%,41,45.10%,64.10%,23,25.30%,35.90%,17,18.70%,8,8.80%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,2006,96,69,71.90%,50,52.10%,72.50%,0,0%,0%,50,52.10%,72.50%,19,19.80%,27.50%,18,18.80%,7,7.30%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,2006 Aug,96,77,80.20%,55,57.30%,71.40%,0,0%,0%,55,57.30%,71.40%,22,22.90%,28.60%,10,10.40%,7,7.30%
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,2005,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,2006,78,39,50%,30,38.50%,76.90%,5,6.40%,12.80%,25,32.10%,64.10%,9,11.50%,23.10%,35,44.90%,2,2.60%
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,2006 Aug,78,51,65.40%,34,43.60%,66.70%,5,6.40%,9.80%,29,37.20%,56.90%,17,21.80%,33.30%,23,29.50%,2,2.60%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2001,180,113,62.80%,85,47.20%,75.20%,0,0%,0%,85,47.20%,75.20%,28,15.60%,24.80%,52,28.90%,15,8.30%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2002,171,106,62%,87,50.90%,82.10%,0,0%,0%,87,50.90%,82.10%,19,11.10%,17.90%,51,29.80%,9,5.30%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2003,186,117,62.90%,85,45.70%,72.60%,0,0%,0%,85,45.70%,72.60%,32,17.20%,27.40%,52,28%,15,8.10%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2004,176,119,67.60%,87,49.40%,73.10%,5,2.80%,4.20%,82,46.60%,68.90%,32,18.20%,26.90%,45,25.60%,10,5.70%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2005,243,162,66.70%,140,57.60%,86.40%,23,9.50%,14.20%,117,48.10%,72.20%,22,9.10%,13.60%,58,23.90%,17,7%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2006,231,137,59.30%,108,46.80%,78.80%,20,8.70%,14.60%,88,38.10%,64.20%,29,12.60%,21.20%,68,29.40%,17,7.40%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2006 Aug,231,168,72.70%,128,55.40%,76.20%,20,8.70%,11.90%,108,46.80%,64.30%,40,17.30%,23.80%,37,16%,17,7.40%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2001,867,788,90.90%,787,90.80%,99.90%,721,83.20%,91.50%,66,7.60%,8.40%,1,0.10%,0.10%,75,8.70%,3,0.30%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2002,919,864,94%,864,94%,100%,767,83.50%,88.80%,97,10.60%,11.20%,0,0%,0%,41,4.50%,9,1%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2003,900,820,91.10%,819,91%,99.90%,708,78.70%,86.30%,111,12.30%,13.50%,1,0.10%,0.10%,64,7.10%,14,1.60%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2004,1009,931,92.30%,931,92.30%,100%,848,84%,91.10%,83,8.20%,8.90%,0,0%,0%,69,6.80%,4,0.40%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2005,1011,903,89.30%,903,89.30%,100%,835,82.60%,92.50%,68,6.70%,7.50%,0,0%,0%,101,10%,4,0.40%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2006,1097,1003,91.40%,1003,91.40%,100%,898,81.90%,89.50%,105,9.60%,10.50%,0,0%,0%,87,7.90%,2,0.20%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2006 Aug,1097,1043,95.10%,1043,95.10%,100%,918,83.70%,88%,125,11.40%,12%,0,0%,0%,47,4.30%,2,0.20%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2001,72,59,81.90%,21,29.20%,35.60%,0,0%,0%,21,29.20%,35.60%,38,52.80%,64.40%,9,12.50%,4,5.60%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2002,71,55,77.50%,22,31%,40%,0,0%,0%,22,31%,40%,33,46.50%,60%,12,16.90%,4,5.60%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2003,65,50,76.90%,16,24.60%,32%,0,0%,0%,16,24.60%,32%,34,52.30%,68%,9,13.80%,6,9.20%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2004,82,65,79.30%,33,40.20%,50.80%,0,0%,0%,33,40.20%,50.80%,32,39%,49.20%,14,17.10%,3,3.70%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2005,87,74,85.10%,53,60.90%,71.60%,0,0%,0%,53,60.90%,71.60%,21,24.10%,28.40%,11,12.60%,2,2.30%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2006,115,94,81.70%,94,81.70%,100%,0,0%,0%,94,81.70%,100%,0,0%,0%,16,13.90%,5,4.30%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2006 Aug,115,97,84.30%,97,84.30%,100%,0,0%,0%,97,84.30%,100%,0,0%,0%,13,11.30%,5,4.30%
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2003,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2004,86,77,89.50%,58,67.40%,75.30%,0,0%,0%,58,67.40%,75.30%,19,22.10%,24.70%,8,9.30%,0,0%
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2005,104,88,84.60%,61,58.70%,69.30%,0,0%,0%,61,58.70%,69.30%,27,26%,30.70%,14,13.50%,1,1%
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2006,109,92,84.40%,78,71.60%,84.80%,28,25.70%,30.40%,50,45.90%,54.30%,14,12.80%,15.20%,15,13.80%,2,1.80%
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2006 Aug,109,94,86.20%,79,72.50%,84%,28,25.70%,29.80%,51,46.80%,54.30%,15,13.80%,16%,13,11.90%,2,1.80%
13K499,ACORN COMMUNITY HIGH SCHOOL,2001,120,68,56.70%,31,25.80%,45.60%,0,0%,0%,31,25.80%,45.60%,37,30.80%,54.40%,26,21.70%,20,16.70%
13K499,ACORN COMMUNITY HIGH SCHOOL,2002,125,83,66.40%,47,37.60%,56.60%,2,1.60%,2.40%,45,36%,54.20%,36,28.80%,43.40%,18,14.40%,18,14.40%
13K499,ACORN COMMUNITY HIGH SCHOOL,2003,131,79,60.30%,59,45%,74.70%,2,1.50%,2.50%,57,43.50%,72.20%,20,15.30%,25.30%,19,14.50%,25,19.10%
13K499,ACORN COMMUNITY HIGH SCHOOL,2004,113,78,69%,50,44.20%,64.10%,5,4.40%,6.40%,45,39.80%,57.70%,28,24.80%,35.90%,25,22.10%,6,5.30%
13K499,ACORN COMMUNITY HIGH SCHOOL,2005,172,106,61.60%,81,47.10%,76.40%,12,7%,11.30%,69,40.10%,65.10%,25,14.50%,23.60%,42,24.40%,13,7.60%
13K499,ACORN COMMUNITY HIGH SCHOOL,2006,169,124,73.40%,94,55.60%,75.80%,2,1.20%,1.60%,92,54.40%,74.20%,30,17.80%,24.20%,29,17.20%,14,8.30%
13K499,ACORN COMMUNITY HIGH SCHOOL,2006 Aug,169,126,74.60%,94,55.60%,74.60%,2,1.20%,1.60%,92,54.40%,73%,32,18.90%,25.40%,27,16%,14,8.30%
13K509,FREEDOM ACADEMY HIGH SCHOOL,2001,16,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K509,FREEDOM ACADEMY HIGH SCHOOL,2002,33,23,69.70%,21,63.60%,91.30%,0,0%,0%,21,63.60%,91.30%,2,6.10%,8.70%,9,27.30%,0,0%
13K509,FREEDOM ACADEMY HIGH SCHOOL,2003,49,22,44.90%,20,40.80%,90.90%,0,0%,0%,20,40.80%,90.90%,2,4.10%,9.10%,19,38.80%,5,10.20%
13K509,FREEDOM ACADEMY HIGH SCHOOL,2004,52,28,53.80%,27,51.90%,96.40%,0,0%,0%,27,51.90%,96.40%,1,1.90%,3.60%,21,40.40%,3,5.80%
13K509,FREEDOM ACADEMY HIGH SCHOOL,2005,65,28,43.10%,25,38.50%,89.30%,2,3.10%,7.10%,23,35.40%,82.10%,3,4.60%,10.70%,33,50.80%,2,3.10%
13K509,FREEDOM ACADEMY HIGH SCHOOL,2006,58,36,62.10%,32,55.20%,88.90%,6,10.30%,16.70%,26,44.80%,72.20%,4,6.90%,11.10%,19,32.80%,3,5.20%
13K509,FREEDOM ACADEMY HIGH SCHOOL,2006 Aug,58,41,70.70%,35,60.30%,85.40%,6,10.30%,14.60%,29,50%,70.70%,6,10.30%,14.60%,14,24.10%,3,5.20%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2001,135,15,11.10%,0,0%,0%,0,0%,0%,0,0%,0%,15,11.10%,100%,108,80%,12,8.90%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2002,128,11,8.60%,2,1.60%,18.20%,0,0%,0%,2,1.60%,18.20%,9,7%,81.80%,108,84.40%,9,7%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2003,115,11,9.60%,5,4.30%,45.50%,0,0%,0%,5,4.30%,45.50%,6,5.20%,54.50%,98,85.20%,5,4.30%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2004,83,10,12%,1,1.20%,10%,0,0%,0%,1,1.20%,10%,9,10.80%,90%,66,79.50%,6,7.20%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2005,64,23,35.90%,6,9.40%,26.10%,0,0%,0%,6,9.40%,26.10%,17,26.60%,73.90%,34,53.10%,6,9.40%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2006,55,9,16.40%,2,3.60%,22.20%,0,0%,0%,2,3.60%,22.20%,7,12.70%,77.80%,33,60%,11,20%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2006 Aug,55,9,16.40%,2,3.60%,22.20%,0,0%,0%,2,3.60%,22.20%,7,12.70%,77.80%,33,60%,11,20%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2001,86,30,34.90%,1,1.20%,3.30%,0,0%,0%,1,1.20%,3.30%,29,33.70%,96.70%,46,53.50%,10,11.60%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2002,68,19,27.90%,6,8.80%,31.60%,0,0%,0%,6,8.80%,31.60%,13,19.10%,68.40%,37,54.40%,12,17.60%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2003,72,33,45.80%,13,18.10%,39.40%,0,0%,0%,13,18.10%,39.40%,20,27.80%,60.60%,31,43.10%,8,11.10%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2004,54,17,31.50%,5,9.30%,29.40%,0,0%,0%,5,9.30%,29.40%,12,22.20%,70.60%,33,61.10%,4,7.40%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2005,52,19,36.50%,12,23.10%,63.20%,0,0%,0%,12,23.10%,63.20%,7,13.50%,36.80%,28,53.80%,4,7.70%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2006,52,15,28.80%,8,15.40%,53.30%,0,0%,0%,8,15.40%,53.30%,7,13.50%,46.70%,32,61.50%,2,3.80%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2006 Aug,52,15,28.80%,8,15.40%,53.30%,0,0%,0%,8,15.40%,53.30%,7,13.50%,46.70%,32,61.50%,2,3.80%
13K595,BEDFORD ACADEMY HIGH SCHOOL,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K595,BEDFORD ACADEMY HIGH SCHOOL,2003,94,88,93.60%,85,90.40%,96.60%,60,63.80%,68.20%,25,26.60%,28.40%,3,3.20%,3.40%,4,4.30%,2,2.10%
13K595,BEDFORD ACADEMY HIGH SCHOOL,2004,117,113,96.60%,107,91.50%,94.70%,68,58.10%,60.20%,39,33.30%,34.50%,6,5.10%,5.30%,2,1.70%,1,0.90%
13K595,BEDFORD ACADEMY HIGH SCHOOL,2005,77,73,94.80%,71,92.20%,97.30%,55,71.40%,75.30%,16,20.80%,21.90%,2,2.60%,2.70%,4,5.20%,0,0%
13K595,BEDFORD ACADEMY HIGH SCHOOL,2006,76,70,92.10%,65,85.50%,92.90%,42,55.30%,60%,23,30.30%,32.90%,5,6.60%,7.10%,3,3.90%,3,3.90%
13K595,BEDFORD ACADEMY HIGH SCHOOL,2006 Aug,76,70,92.10%,65,85.50%,92.90%,42,55.30%,60%,23,30.30%,32.90%,5,6.60%,7.10%,3,3.90%,3,3.90%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2001,175,56,32%,24,13.70%,42.90%,2,1.10%,3.60%,22,12.60%,39.30%,32,18.30%,57.10%,62,35.40%,28,16%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2002,228,130,57%,48,21.10%,36.90%,7,3.10%,5.40%,41,18%,31.50%,82,36%,63.10%,52,22.80%,32,14%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2003,165,111,67.30%,42,25.50%,37.80%,14,8.50%,12.60%,28,17%,25.20%,69,41.80%,62.20%,20,12.10%,17,10.30%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2004,241,127,52.70%,42,17.40%,33.10%,12,5%,9.40%,30,12.40%,23.60%,85,35.30%,66.90%,54,22.40%,28,11.60%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2005,169,101,59.80%,24,14.20%,23.80%,7,4.10%,6.90%,17,10.10%,16.80%,77,45.60%,76.20%,43,25.40%,15,8.90%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2006,246,128,52%,68,27.60%,53.10%,31,12.60%,24.20%,37,15%,28.90%,60,24.40%,46.90%,68,27.60%,27,11%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2006 Aug,246,144,58.50%,75,30.50%,52.10%,31,12.60%,21.50%,44,17.90%,30.60%,69,28%,47.90%,53,21.50%,26,10.60%
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,2005,50,0,0%,0,0%,.,0,0%,.,0,0%,.,0,0%,.,48,96%,2,4%
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,2006,88,7,8%,2,2.30%,28.60%,0,0%,0%,2,2.30%,28.60%,5,5.70%,71.40%,57,64.80%,23,26.10%
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,2006 Aug,88,7,8%,2,2.30%,28.60%,0,0%,0%,2,2.30%,28.60%,5,5.70%,71.40%,57,64.80%,23,26.10%
13K670,BENJAMIN BANNEKER ACADEMY,2001,141,128,90.80%,97,68.80%,75.80%,1,0.70%,0.80%,96,68.10%,75%,31,22%,24.20%,11,7.80%,2,1.40%
13K670,BENJAMIN BANNEKER ACADEMY,2002,155,137,88.40%,128,82.60%,93.40%,45,29%,32.80%,83,53.50%,60.60%,9,5.80%,6.60%,13,8.40%,5,3.20%
13K670,BENJAMIN BANNEKER ACADEMY,2003,200,181,90.50%,160,80%,88.40%,72,36%,39.80%,88,44%,48.60%,21,10.50%,11.60%,14,7%,5,2.50%
13K670,BENJAMIN BANNEKER ACADEMY,2004,238,218,91.60%,209,87.80%,95.90%,135,56.70%,61.90%,74,31.10%,33.90%,9,3.80%,4.10%,13,5.50%,7,2.90%
13K670,BENJAMIN BANNEKER ACADEMY,2005,246,234,95.10%,230,93.50%,98.30%,133,54.10%,56.80%,97,39.40%,41.50%,4,1.60%,1.70%,8,3.30%,3,1.20%
13K670,BENJAMIN BANNEKER ACADEMY,2006,234,216,92.30%,206,88%,95.40%,101,43.20%,46.80%,105,44.90%,48.60%,10,4.30%,4.60%,10,4.30%,6,2.60%
13K670,BENJAMIN BANNEKER ACADEMY,2006 Aug,234,220,94%,209,89.30%,95%,101,43.20%,45.90%,108,46.20%,49.10%,11,4.70%,5%,7,3%,5,2.10%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2001,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
14K477,SCHOOL FOR LEGAL STUDIES,2002,190,120,63.20%,81,42.60%,67.50%,11,5.80%,9.20%,70,36.80%,58.30%,39,20.50%,32.50%,42,22.10%,16,8.40%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2003,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2004,75,46,61.30%,26,34.70%,56.50%,0,0%,0%,26,34.70%,56.50%,20,26.70%,43.50%,22,29.30%,6,8%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2005,94,46,48.90%,34,36.20%,73.90%,3,3.20%,6.50%,31,33%,67.40%,12,12.80%,26.10%,35,37.20%,7,7.40%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2006,100,40,40%,27,27%,67.50%,0,0%,0%,27,27%,67.50%,13,13%,32.50%,40,40%,18,18%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2006 Aug,100,44,44%,28,28%,63.60%,0,0%,0%,28,28%,63.60%,16,16%,36.40%,36,36%,18,18%
14K322,FOUNDATIONS ACADEMY,2004,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
14K322,FOUNDATIONS ACADEMY,2005,94,71,75.50%,53,56.40%,74.60%,1,1.10%,1.40%,52,55.30%,73.20%,18,19.10%,25.40%,19,20.20%,1,1.10%
14K322,FOUNDATIONS ACADEMY,2006,60,41,68.30%,26,43.30%,63.40%,1,1.70%,2.40%,25,41.70%,61%,15,25%,36.60%,14,23.30%,2,3.30%
14K322,FOUNDATIONS ACADEMY,2006 Aug,60,42,70%,26,43.30%,61.90%,1,1.70%,2.40%,25,41.70%,59.50%,16,26.70%,38.10%,13,21.70%,2,3.30%
14K404,ACADEMY FOR YOUNG WRITERS,2005,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
14K404,ACADEMY FOR YOUNG WRITERS,2006,78,60,76.90%,45,57.70%,75%,0,0%,0%,45,57.70%,75%,15,19.20%,25%,14,17.90%,3,3.80%
14K404,ACADEMY FOR YOUNG WRITERS,2006 Aug,78,66,84.60%,49,62.80%,74.20%,0,0%,0%,49,62.80%,74.20%,17,21.80%,25.80%,8,10.30%,3,3.80%
14K449,BROOKLYN LATIN SCHOOL  THE,2006,51,47,92.20%,47,92.20%,100%,26,51%,55.30%,21,41.20%,44.70%,0,0%,0%,4,7.80%,0,0%
14K449,BROOKLYN LATIN SCHOOL  THE,2006 Aug,51,51,100%,47,92.20%,92.20%,26,51%,51%,21,41.20%,41.20%,4,7.80%,7.80%,0,0%,0,0%
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,2004,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,2005,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,2006,96,52,54.20%,45,46.90%,86.50%,0,0%,0%,45,46.90%,86.50%,7,7.30%,13.50%,25,26%,15,15.60%
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,2006 Aug,96,62,64.60%,47,49%,75.80%,0,0%,0%,47,49%,75.80%,15,15.60%,24.20%,15,15.60%,15,15.60%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2001,128,71,55.50%,32,25%,45.10%,0,0%,0%,32,25%,45.10%,39,30.50%,54.90%,41,32%,12,9.40%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2002,213,114,53.50%,25,11.70%,21.90%,1,0.50%,0.90%,24,11.30%,21.10%,89,41.80%,78.10%,70,32.90%,20,9.40%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2003,239,128,53.60%,78,32.60%,60.90%,4,1.70%,3.10%,74,31%,57.80%,50,20.90%,39.10%,79,33.10%,27,11.30%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2004,270,133,49.30%,75,27.80%,56.40%,5,1.90%,3.80%,70,25.90%,52.60%,58,21.50%,43.60%,106,39.30%,25,9.30%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2005,220,142,64.50%,82,37.30%,57.70%,3,1.40%,2.10%,79,35.90%,55.60%,60,27.30%,42.30%,53,24.10%,23,10.50%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2006,207,133,64.30%,99,47.80%,74.40%,5,2.40%,3.80%,94,45.40%,70.70%,34,16.40%,25.60%,54,26.10%,13,6.30%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2006 Aug,207,147,71%,103,49.80%,70.10%,5,2.40%,3.40%,98,47.30%,66.70%,44,21.30%,29.90%,40,19.30%,13,6.30%
14K477,SCHOOL FOR LEGAL STUDIES,2001,111,66,59.50%,37,33.30%,56.10%,2,1.80%,3%,35,31.50%,53%,29,26.10%,43.90%,26,23.40%,17,15.30%
14K477,SCHOOL FOR LEGAL STUDIES,2003,180,95,52.80%,53,29.40%,55.80%,5,2.80%,5.30%,48,26.70%,50.50%,42,23.30%,44.20%,61,33.90%,20,11.10%
14K477,SCHOOL FOR LEGAL STUDIES,2004,168,96,57.10%,24,14.30%,25%,2,1.20%,2.10%,22,13.10%,22.90%,72,42.90%,75%,44,26.20%,24,14.30%
14K477,SCHOOL FOR LEGAL STUDIES,2005,162,99,61.10%,49,30.20%,49.50%,5,3.10%,5.10%,44,27.20%,44.40%,50,30.90%,50.50%,42,25.90%,19,11.70%
14K477,SCHOOL FOR LEGAL STUDIES,2006,146,86,58.90%,47,32.20%,54.70%,1,0.70%,1.20%,46,31.50%,53.50%,39,26.70%,45.30%,34,23.30%,24,16.40%
14K477,SCHOOL FOR LEGAL STUDIES,2006 Aug,146,92,63%,49,33.60%,53.30%,1,0.70%,1.10%,48,32.90%,52.20%,43,29.50%,46.70%,29,19.90%,23,15.80%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2001,139,99,71.20%,52,37.40%,52.50%,4,2.90%,4%,48,34.50%,48.50%,47,33.80%,47.50%,22,15.80%,15,10.80%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2002,170,112,65.90%,49,28.80%,43.80%,8,4.70%,7.10%,41,24.10%,36.60%,63,37.10%,56.30%,32,18.80%,21,12.40%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2003,174,136,78.20%,91,52.30%,66.90%,47,27%,34.60%,44,25.30%,32.40%,45,25.90%,33.10%,15,8.60%,20,11.50%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2004,171,153,89.50%,116,67.80%,75.80%,80,46.80%,52.30%,36,21.10%,23.50%,37,21.60%,24.20%,13,7.60%,3,1.80%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2005,168,144,85.70%,107,63.70%,74.30%,73,43.50%,50.70%,34,20.20%,23.60%,37,22%,25.70%,20,11.90%,2,1.20%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2006,161,134,83.20%,103,64%,76.90%,6,3.70%,4.50%,97,60.20%,72.40%,31,19.30%,23.10%,22,13.70%,5,3.10%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2006 Aug,161,138,85.70%,104,64.60%,75.40%,6,3.70%,4.30%,98,60.90%,71%,34,21.10%,24.60%,18,11.20%,5,3.10%
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,2004,55,53,96.40%,47,85.50%,88.70%,4,7.30%,7.50%,43,78.20%,81.10%,6,10.90%,11.30%,1,1.80%,1,1.80%
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,2005,84,65,77.40%,48,57.10%,73.80%,3,3.60%,4.60%,45,53.60%,69.20%,17,20.20%,26.20%,14,16.70%,1,1.20%
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,2006,75,59,78.70%,46,61.30%,78%,1,1.30%,1.70%,45,60%,76.30%,13,17.30%,22%,8,10.70%,5,6.70%
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,2006 Aug,75,61,81.30%,47,62.70%,77%,1,1.30%,1.60%,46,61.30%,75.40%,14,18.70%,23%,6,8%,5,6.70%
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,2002,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,2003,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
